text,expected,predicted
"Грузинские армяне это очень сильная магия
",0.0,0.0
"0,3 с коррекцией, т.е в очках или линзах.
",0.0,0.0
"Классный тренажер, отличная кардиожиросжигающая нагрузка. Учитесь, ТП и Тх, залипающие в зале в телефон
",0.0,0.0
"Это ШВЯТАЯ лужа, русня ебучая! И грязь в ней лечебная. Знаменитые Канзасские источники.
",1.0,0.0
"Я не знаю что у тебя. Сходи к врачу, если сомневаешься.
",0.0,1.0
"Скорей всего длительность рекламы зависит от длины фильма и желания подогнать начало сеансов под целое число: час или половину часа. Если фильм 1:45, реклама будет 15 минут, если 1:40 - то 20 минут. Мои догадки, хз.
",0.0,0.0
"Есть официальные сервисные центры Xiaomi лучше туда и запчасти, и гарантия, и дешевле. В ремонтах ближайших ТЦ ещё те ремонтёры сидят, да и гарантии никакой. Да и с официалами проще потом тягаться, при вылезшем косяке, чем с шарашкой в ТЦ.
",0.0,0.0
"pЕНo, штaт Невaдa. Бoльшинcтву пoдpocткoв из Невaды будет paзpешенo вoдить мaшину пo зaкoнoпpoекту, кoтopый будет paccмoтpен в зaкoнoдaтельнoм opгaне штaтa Невaдa. Зaкoнoпpoект accaмблеи 213 нaпpaвлен нa pacшиpение cущеcтвующегo гocудapcтвеннoгo зaкoнa, и пoзвoлит cельcким жителям в вoзpacте oт 14 лет caмocтoятельнo ездить в шкoлу в небoльших гopoдaх и oкpугaх, где не хoдят шкoльные aвтoбуcы. Этa меpa, пoддеpжaннaя депутaтoм accaмблеи aлекcиcoм Хaнcенoм, пpедocтaвит эту пpивилегию учaщимcя, незaвиcимo oт тoгo, где нaхoдитcя их шкoлa. Этo oзнaчaет, чтo 14-летние дети мoгут вcкopе ездить в шкoлы, кoтopые не пpедocтaвляют aвтoбуcы ученикaм, дaже в тaких кpупных oкpугaх, кaк Уoшo и Клapк. Вoдители штaтa Невaдa уже мoгут пoлучить пpaвa учaщегocя в вoзpacте 15,5 лет, пpи уcлoвии, чтo oни везут c coбoй пaccaжиpa, кoтopoму иcпoлнилcя 21 гoд и у негo oпыт вoждения не менее гoдa. Невaдa - oдин из немнoгих штaтoв, ктo paзpешaет вoдителям пoлучaть paзpешения для учaщихcя в вoзpacте дo 15 лет. Южнaя Дaкoтa выдaет учaщимcя в вoзpacте 14 лет oгpaниченные пpaвa в вoзpacте 14,5 лет.
",0.0,0.0
"похоже на стиль старой бондианы. круто!
",1.0,0.0
"Ебаный дегенерат, новость про снимки луны, постит японку. Потому что японочки богини по сравнению с вонючими натахами так вообще как небо и земля
",1.0,0.0
"подбирать носки Ты че, ебанутый? Купил уже кроссовки акроним и выложил лук в фач?
",1.0,1.0
"Ну тут такое. Обрати внимание на формулировку: просим предоставить в наш адрес информацию, необходимую для декодирования сообщений за период . Не сообщения. А ключевую информацию. То есть уже на этой фразе у меня создается впечатление, что наши доблестные ФСБшники оторваны от реальности. За прошедшие полвека столько криптоалгоритмов и криптосхем придумано, которые дают оператору сервера легальную возможность сделать лапки (ключ одноразовый на каждое сообщение, не персистится, синхронизируется хитрым способом через разделяемый секрет). Так я и не спорю, что сделано это все топорно и дальше начинается вообще какой-то цирк. Ну и в максиме - можно же ввести закон что нужно жрать говно, и тут встает вопрос о легитимности закона. Понимаю, что звучит дико, но в той же Конституции формально постулируется главенство международных норм права, тех же прав человека. Ну тут такое. Все же тут закон, который разрешает стражам порядка читать переписку отдельных лиц, которые подозреваются в чем-то, а не тупо вот буит так как я сказал, я тут главный, захочу - говно жрать заставлю . А буквально недавно в ООН приняли резолюцию о том, что та же криптозащита - неотъемлемое право человека. Так что тут сложный юридический казус в смеси с нормами морали. Про права человека вообще лучше мне не говорить. Я не знаю как к тому же ЕСПЧ относиться. С одной стороны да, все люди имеют право, что бы к ним относились как к людям. А с другой, когда я читаю очередной приговор, где, например, ЕСПЧ постановило РФ выплатить компенсацию парочке боевиков, потому что их, бедненьких, били на допросах. А перед этим боевики расстреляли милицейский (тогда еще) пост и убили несколько гражданских, в том числе забили женщину насмерть прикладами. И можно там понять милицейский пост, можно там понять мужика, который, как они считали, сотрудничал с милицией, но женщина вообще просто так получила, тупо потому что они могут. И не застрелили, а забили насмерть прикладами, они же тупо удовольствие от этого получали. И мне вот что-то совсем не жалко что вот таких вот отмудохали. И в итоге я вообще не знаю как к этому относиться, вроде бы и люди, возможно даже можно понять их мотив, но творят такую хуйню, что и людьми после этого их сложно назвать. Ок, я тебя понял, но, по твоему же цитированию вполне подпадает под в некоторых случаях также частной переписки как средство этой самой переписки. Ну, опять же, ну блочат этот телеграм не потому, что там какая-то информация опасная для государственного режима передается в огромных количествах, а тупо что бы Дурову типа насолить. Хотя, в итоге, сами себя на посмешище выставили. Кстати, ликвиднул он в итоге юр. лицо? Это же, по идеи, должно было ослабить хватку вокруг телеграма.
",1.0,0.0
